
SPDR S&P 500 ETF Trust,Last: 519.05,Change:  0.62
"Date: April 8, 2024 at 11:57 AM EDT",Bid: 519.04,Ask: 519.05,Size: 1*7,"Volume: 14,688,315"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Apr 16 2024,SPY240416C00513000,8.5,-0.135,8.59,8.65,18,0.1458,0.7269,0.0293,140,513.00,SPY240416P00513000,2.06,-0.665,1.92,1.94,399,0.1456,-0.276,0.0297,345
Tue Apr 16 2024,SPY240416C00514000,8,0.09,7.83,7.89,2,0.1438,0.6992,0.0311,224,514.00,SPY240416P00514000,2.18,-0.83,2.16,2.18,384,0.1435,-0.3042,0.0316,271
Tue Apr 16 2024,SPY240416C00515000,6.9,-0.305,7.09,7.14,25,0.1416,0.6694,0.0329,445,515.00,SPY240416P00515000,2.48,-0.825,2.43,2.45,252,0.1411,-0.3346,0.0335,349
Tue Apr 16 2024,SPY240416C00516000,6.29,-0.25,6.39,6.43,1,0.1396,0.6376,0.0345,268,516.00,SPY240416P00516000,2.82,-0.825,2.73,2.75,152,0.1391,-0.3672,0.0352,267
Tue Apr 16 2024,SPY240416C00517000,5.77,-0.125,5.73,5.76,80,0.1374,0.6038,0.036,339,517.00,SPY240416P00517000,3.05,-0.955,3.06,3.08,416,0.137,-0.4017,0.0368,524
Tue Apr 16 2024,SPY240416C00518000,4.98,-0.305,5.09,5.12,234,0.1354,0.5683,0.0373,183,518.00,SPY240416P00518000,3.42,-0.975,3.43,3.44,530,0.1352,-0.4382,0.0382,354
Tue Apr 16 2024,SPY240416C00519000,4.49,-0.215,4.49,4.51,439,0.1333,0.5311,0.0383,249,519.00,SPY240416P00519000,3.82,-1.015,3.82,3.84,494,0.1331,-0.4765,0.0393,783
Tue Apr 16 2024,SPY240416C00520000,3.84,-0.325,3.92,3.94,318,0.1313,0.4927,0.039,430,520.00,SPY240416P00520000,4.52,-0.78,4.27,4.29,404,0.1312,-0.5162,0.0401,657
Tue Apr 16 2024,SPY240416C00521000,3.52,-0.135,3.4,3.42,37,0.1294,0.4533,0.0392,215,521.00,SPY240416P00521000,4.37,-1.435,4.76,4.78,186,0.1294,-0.5571,0.0406,482
Tue Apr 16 2024,SPY240416C00522000,2.95,-0.24,2.91,2.93,259,0.1276,0.4132,0.0392,437,522.00,SPY240416P00522000,5.1,-1.245,5.28,5.31,45,0.1276,-0.5988,0.0407,378
Tue Apr 16 2024,SPY240416C00523000,2.45,-0.31,2.48,2.5,175,0.1257,0.3731,0.0386,382,523.00,SPY240416P00523000,5.31,-1.625,5.85,5.9,1,0.1258,-0.6409,0.0403,288
Tue Apr 16 2024,SPY240416C00524000,1.99,-0.375,2.08,2.1,88,0.1238,0.3333,0.0376,518,524.00,SPY240416P00524000,6.47,-1.085,6.47,6.53,1,0.1241,-0.6829,0.0395,225
Tue Apr 16 2024,SPY240416C00525000,1.69,-0.315,1.74,1.75,429,0.1222,0.2944,0.0361,415,525.00,SPY240416P00525000,7.36,-0.86,7.13,7.2,11,0.1225,-0.7243,0.0383,135
Tue Apr 16 2024,SPY240416C00526000,1.6,-0.085,1.42,1.43,178,0.1206,0.2569,0.0342,445,526.00,SPY240416P00526000,8.73,0,7.83,7.91,0,0.121,-0.7647,0.0367,329
Tue Apr 16 2024,SPY240416C00527000,1.3,-0.1,1.15,1.16,30,0.1191,0.2214,0.032,490,527.00,SPY240416P00527000,8.6,-1.055,8.58,8.68,10,0.1196,-0.8034,0.0347,75
Tue Apr 16 2024,SPY240416C00528000,0.93,-0.22,0.92,0.93,242,0.1174,0.1882,0.0294,582,528.00,SPY240416P00528000,10.29,0,9.38,9.48,0,0.1183,-0.8401,0.0324,140
Tue Apr 16 2024,SPY240416C00529000,0.77,-0.16,0.73,0.74,111,0.1162,0.158,0.0266,270,529.00,SPY240416P00529000,10.46,0,10.21,10.32,0,0.1168,-0.8743,0.0299,6
Wed Apr 17 2024,SPY240417C00510000,11.26,0,11.28,11.36,0,0.1529,0.7859,0.0231,93,510.00,SPY240417P00510000,1.41,-0.84,1.55,1.57,89,0.1528,-0.2162,0.0234,848
Wed Apr 17 2024,SPY240417C00511000,10.55,0,10.46,10.54,0,0.1506,0.765,0.0247,15,511.00,SPY240417P00511000,1.81,-0.65,1.72,1.74,38,0.1505,-0.2375,0.0251,202
Wed Apr 17 2024,SPY240417C00512000,10,0,9.66,9.73,0,0.1485,0.7424,0.0264,58,512.00,SPY240417P00512000,1.85,-0.845,1.92,1.94,104,0.1482,-0.2606,0.0268,1091
Wed Apr 17 2024,SPY240417C00513000,8.92,0,8.88,8.95,0,0.1464,0.7178,0.028,213,513.00,SPY240417P00513000,1.91,-1.045,2.14,2.16,79,0.146,-0.2856,0.0285,167
Wed Apr 17 2024,SPY240417C00514000,8.46,0.24,8.13,8.19,3,0.1441,0.6914,0.0296,409,514.00,SPY240417P00514000,2.25,-0.985,2.38,2.4,32,0.1439,-0.3125,0.0302,187
Wed Apr 17 2024,SPY240417C00515000,7.37,-0.15,7.4,7.44,15,0.1419,0.6631,0.0312,324,515.00,SPY240417P00515000,2.84,-0.705,2.65,2.67,210,0.1417,-0.3414,0.0318,585
Wed Apr 17 2024,SPY240417C00516000,7.16,0.31,6.7,6.74,5,0.1397,0.633,0.0326,176,516.00,SPY240417P00516000,3.15,-0.725,2.95,2.97,103,0.1396,-0.3723,0.0333,507
Wed Apr 17 2024,SPY240417C00517000,6.68,0.475,6.04,6.07,126,0.1379,0.6012,0.0339,674,517.00,SPY240417P00517000,3.42,-0.815,3.28,3.3,259,0.1375,-0.405,0.0347,436
Wed Apr 17 2024,SPY240417C00518000,5.35,-0.245,5.4,5.42,61,0.1358,0.5677,0.0351,397,518.00,SPY240417P00518000,3.79,-0.845,3.65,3.67,212,0.1357,-0.4394,0.036,609
Wed Apr 17 2024,SPY240417C00519000,5.16,0.145,4.8,4.82,100,0.134,0.5328,0.036,408,519.00,SPY240417P00519000,4.29,-0.77,4.05,4.08,232,0.1337,-0.4754,0.037,245
Wed Apr 17 2024,SPY240417C00520000,4.14,-0.325,4.23,4.25,335,0.132,0.4968,0.0366,450,520.00,SPY240417P00520000,4.57,-0.955,4.49,4.51,126,0.1318,-0.5128,0.0378,419
Wed Apr 17 2024,SPY240417C00521000,3.83,-0.125,3.7,3.72,32,0.1301,0.4598,0.0369,666,521.00,SPY240417P00521000,5.23,-0.79,4.97,4.99,137,0.13,-0.5513,0.0382,483
Wed Apr 17 2024,SPY240417C00522000,3.15,-0.33,3.21,3.23,156,0.1284,0.4222,0.0369,398,522.00,SPY240417P00522000,5.34,-1.22,5.49,5.51,48,0.1283,-0.5905,0.0384,264
Wed Apr 17 2024,SPY240417C00523000,2.61,-0.425,2.76,2.78,42,0.1266,0.3844,0.0365,230,523.00,SPY240417P00523000,6,-1.125,6.06,6.1,20,0.1266,-0.6302,0.0382,233
Wed Apr 17 2024,SPY240417C00524000,2.31,-0.325,2.35,2.37,52,0.1251,0.3469,0.0357,255,524.00,SPY240417P00524000,6.03,-1.715,6.66,6.72,1,0.1251,-0.6699,0.0377,318
Wed Apr 17 2024,SPY240417C00525000,1.9,-0.365,1.99,2,664,0.1236,0.31,0.0346,255,525.00,SPY240417P00525000,8.05,0,7.31,7.38,0,0.1236,-0.7093,0.0367,410
Wed Apr 17 2024,SPY240417C00526000,1.59,-0.34,1.66,1.68,219,0.122,0.2742,0.0331,187,526.00,SPY240417P00526000,8.4,-0.685,8,8.09,10,0.1222,-0.7478,0.0354,88
Wed Apr 17 2024,SPY240417C00527000,1.62,-0.01,1.38,1.39,23,0.1204,0.2401,0.0312,485,527.00,SPY240417P00527000,8.7,0,8.72,8.82,0,0.1207,-0.785,0.0338,255
Wed Apr 17 2024,SPY240417C00530000,0.78,-0.14,0.73,0.74,541,0.1167,0.1508,0.0242,284,530.00,SPY240417P00530000,10.42,-1.785,11.16,11.3,3,0.1172,-0.8854,0.0277,15
Wed Apr 17 2024,SPY240417C00535000,0.27,-0.035,0.21,0.22,58,0.1131,0.0565,0.0121,1029,535.00,SPY240417P00535000,15.05,-1.74,15.67,16.19,6,0,-0.9948,0.0061,1
Thu Apr 18 2024,SPY240418C00510000,11.75,0.08,11.69,11.77,10,0.1549,0.7779,0.0222,7,510.00,SPY240418P00510000,1.62,-0.835,1.73,1.75,16,0.154,-0.2253,0.0226,363
Thu Apr 18 2024,SPY240418C00511000,9.35,0,10.86,10.95,0,0.1526,0.7577,0.0237,2,511.00,SPY240418P00511000,2.02,-0.655,1.91,1.93,12,0.1517,-0.2459,0.0241,947
Thu Apr 18 2024,SPY240418C00512000,9.99,0,10.08,10.15,0,0.1503,0.736,0.0251,114,512.00,SPY240418P00512000,2.22,-0.69,2.12,2.14,14,0.1494,-0.2682,0.0256,190
Thu Apr 18 2024,SPY240418C00513000,9.51,0.135,9.31,9.37,4,0.1482,0.7126,0.0266,95,513.00,SPY240418P00513000,2.49,-0.685,2.34,2.36,25,0.1475,-0.2922,0.0272,287
Thu Apr 18 2024,SPY240418C00514000,9,0.35,8.55,8.61,12,0.1461,0.6875,0.028,196,514.00,SPY240418P00514000,2.74,-0.715,2.59,2.61,76,0.1454,-0.3179,0.0287,317
Thu Apr 18 2024,SPY240418C00515000,8.25,0.295,7.82,7.87,23,0.1438,0.6608,0.0294,458,515.00,SPY240418P00515000,2.9,-0.86,2.87,2.89,1420,0.1432,-0.3454,0.0301,716
Thu Apr 18 2024,SPY240418C00516000,7.13,-0.15,7.12,7.16,2,0.1417,0.6325,0.0306,343,516.00,SPY240418P00516000,3.34,-0.755,3.16,3.19,156,0.1413,-0.3746,0.0315,363
Thu Apr 18 2024,SPY240418C00517000,6.28,-0.35,6.45,6.48,83,0.1396,0.6026,0.0318,861,517.00,SPY240418P00517000,3.7,-0.76,3.51,3.53,225,0.1394,-0.4056,0.0328,175
Thu Apr 18 2024,SPY240418C00518000,5.63,-0.385,5.81,5.84,265,0.1378,0.5713,0.0328,436,518.00,SPY240418P00518000,3.97,-0.88,3.87,3.89,1272,0.1375,-0.438,0.0339,364
Thu Apr 18 2024,SPY240418C00519000,5.12,-0.305,5.21,5.23,128,0.1357,0.5388,0.0336,502,519.00,SPY240418P00519000,4.49,-0.79,4.27,4.29,207,0.1356,-0.472,0.0349,166
Thu Apr 18 2024,SPY240418C00520000,4.6,-0.27,4.63,4.65,1236,0.1339,0.5051,0.0343,427,520.00,SPY240418P00520000,4.72,-1.01,4.71,4.73,447,0.134,-0.5072,0.0357,492
Thu Apr 18 2024,SPY240418C00521000,4.09,-0.255,4.09,4.11,625,0.132,0.4705,0.0346,225,521.00,SPY240418P00521000,5.44,-0.79,5.19,5.22,167,0.1324,-0.5435,0.0362,186
Thu Apr 18 2024,SPY240418C00522000,3.79,-0.065,3.59,3.61,291,0.1303,0.4354,0.0347,487,522.00,SPY240418P00522000,5.95,-0.805,5.69,5.72,99,0.1306,-0.5807,0.0365,42
Thu Apr 18 2024,SPY240418C00523000,3.03,-0.375,3.12,3.14,750,0.1286,0.3999,0.0345,354,523.00,SPY240418P00523000,6.08,-1.235,6.24,6.28,50,0.1292,-0.6184,0.0365,53
Thu Apr 18 2024,SPY240418C00524000,2.64,-0.335,2.69,2.72,582,0.1271,0.3645,0.034,847,524.00,SPY240418P00524000,6.31,-1.605,6.84,6.9,2,0.1277,-0.6564,0.0362,57
Thu Apr 18 2024,SPY240418C00525000,2.22,-0.37,2.31,2.33,201,0.1254,0.3295,0.0331,711,525.00,SPY240418P00525000,7.15,-1.41,7.47,7.54,2,0.1265,-0.6944,0.0356,23
Thu Apr 18 2024,SPY240418C00526000,1.88,-0.355,1.96,1.98,317,0.1239,0.2953,0.032,324,526.00,SPY240418P00526000,9.4,0,8.15,8.23,0,0.125,-0.7318,0.0348,21
Thu Apr 18 2024,SPY240418C00527000,1.66,-0.255,1.65,1.67,195,0.1226,0.2622,0.0305,348,527.00,SPY240418P00527000,9.29,-0.66,8.88,8.96,2,0.1241,-0.7685,0.0336,47
Thu Apr 18 2024,SPY240418C00530000,0.93,-0.215,0.93,0.95,190,0.1189,0.1734,0.0247,322,530.00,SPY240418P00530000,11.29,0,11.25,11.39,0,0.1213,-0.8705,0.0288,10
Thu Apr 18 2024,SPY240418C00535000,0.32,-0.095,0.31,0.32,167,0.1154,0.073,0.0138,27,535.00,SPY240418P00535000,0,0,15.68,16.19,0,0,-0.9911,0.01,0
Fri Apr 19 2024,SPY240419C00510000,11.8,-0.16,11.96,12.04,417,0.1549,0.7693,0.0216,41993,510.00,SPY240419P00510000,1.92,-0.735,1.91,1.93,3327,0.1542,-0.2343,0.0221,79992
Fri Apr 19 2024,SPY240419C00511000,11.11,-0.105,11.15,11.22,2,0.1528,0.7497,0.0229,7159,511.00,SPY240419P00511000,2.11,-0.775,2.1,2.12,467,0.1521,-0.2543,0.0234,11636
Fri Apr 19 2024,SPY240419C00512000,10.83,0.4,10.36,10.42,23,0.1506,0.7286,0.0243,8321,512.00,SPY240419P00512000,2.4,-0.72,2.31,2.33,297,0.15,-0.276,0.0248,7848
Fri Apr 19 2024,SPY240419C00513000,10.18,0.495,9.59,9.65,27,0.1485,0.7061,0.0256,8271,513.00,SPY240419P00513000,2.62,-0.765,2.54,2.56,865,0.1479,-0.2992,0.0262,9290
Fri Apr 19 2024,SPY240419C00514000,8.85,-0.1,8.84,8.89,37,0.1463,0.682,0.0268,8485,514.00,SPY240419P00514000,2.85,-0.82,2.79,2.81,903,0.1457,-0.324,0.0275,9987
Fri Apr 19 2024,SPY240419C00515000,7.95,-0.325,8.13,8.17,343,0.1441,0.6564,0.0281,21915,515.00,SPY240419P00515000,3.12,-0.86,3.07,3.09,3314,0.1438,-0.3503,0.0288,27407
Fri Apr 19 2024,SPY240419C00516000,7.3,-0.29,7.43,7.46,336,0.1421,0.6294,0.0292,9278,516.00,SPY240419P00516000,3.37,-0.945,3.38,3.4,1060,0.1419,-0.3783,0.0301,6570
Fri Apr 19 2024,SPY240419C00517000,6.66,-0.275,6.75,6.78,396,0.1401,0.6009,0.0303,9995,517.00,SPY240419P00517000,3.83,-0.845,3.71,3.73,2593,0.1399,-0.4078,0.0313,14700
Fri Apr 19 2024,SPY240419C00518000,6.16,-0.155,6.12,6.14,2555,0.1383,0.5712,0.0312,4718,518.00,SPY240419P00518000,4.09,-0.975,4.08,4.1,3442,0.1381,-0.4388,0.0323,15235
Fri Apr 19 2024,SPY240419C00519000,5.52,-0.21,5.51,5.53,2177,0.1364,0.5402,0.032,8232,519.00,SPY240419P00519000,4.44,-1.045,4.48,4.5,3566,0.1362,-0.4711,0.0332,5290
Fri Apr 19 2024,SPY240419C00520000,4.96,-0.205,4.93,4.95,3801,0.1347,0.5083,0.0325,25237,520.00,SPY240419P00520000,4.9,-1.04,4.91,4.94,3096,0.1345,-0.5046,0.034,24789
Fri Apr 19 2024,SPY240419C00521000,4.4,-0.235,4.38,4.4,797,0.1328,0.4756,0.0329,14938,521.00,SPY240419P00521000,5.33,-1.1,5.38,5.41,1626,0.1328,-0.5391,0.0345,5633
Fri Apr 19 2024,SPY240419C00522000,3.9,-0.25,3.88,3.89,1062,0.1311,0.4422,0.033,11993,522.00,SPY240419P00522000,6.06,-0.885,5.89,5.92,1909,0.1313,-0.5745,0.0348,6518
Fri Apr 19 2024,SPY240419C00523000,3.43,-0.245,3.4,3.41,1399,0.1295,0.4085,0.0329,7389,523.00,SPY240419P00523000,6.67,-0.83,6.44,6.47,313,0.1297,-0.6104,0.0349,2963
Fri Apr 19 2024,SPY240419C00524000,2.9,-0.345,2.96,2.98,1378,0.128,0.3748,0.0325,8142,524.00,SPY240419P00524000,7.07,-0.95,7.02,7.07,175,0.1284,-0.6466,0.0347,8492
Fri Apr 19 2024,SPY240419C00525000,2.59,-0.26,2.56,2.58,3583,0.1265,0.3414,0.0318,29963,525.00,SPY240419P00525000,7.7,-1.025,7.65,7.69,322,0.1274,-0.6829,0.0343,2788
Fri Apr 19 2024,SPY240419C00526000,2.2,-0.28,2.2,2.22,1199,0.1251,0.3085,0.0309,30852,526.00,SPY240419P00526000,8.06,-1.3,8.31,8.37,8,0.1259,-0.719,0.0336,7080
Fri Apr 19 2024,SPY240419C00527000,1.87,-0.28,1.88,1.9,972,0.1238,0.2766,0.0296,39446,527.00,SPY240419P00527000,8.52,-1.525,9,9.08,3,0.1246,-0.7544,0.0327,5824
Fri Apr 19 2024,SPY240419C00528000,1.55,-0.3,1.59,1.6,1366,0.1224,0.2459,0.0282,8178,528.00,SPY240419P00528000,9.82,-0.91,9.75,9.84,4,0.1237,-0.789,0.0315,3223
Fri Apr 19 2024,SPY240419C00529000,1.35,-0.225,1.33,1.35,505,0.1212,0.2167,0.0265,26515,529.00,SPY240419P00529000,10.9,-0.635,10.54,10.63,1,0.123,-0.8224,0.0302,270
Mon Apr 22 2024,SPY240422C00510000,0,0,12.25,12.33,0,0.1445,0.7601,0.021,0,510.00,SPY240422P00510000,2.1,2.1,2.11,2.13,37,0.144,-0.2437,0.0214,0
Mon Apr 22 2024,SPY240422C00511000,11.4,11.4,11.45,11.52,2,0.1425,0.741,0.0221,0,511.00,SPY240422P00511000,2.22,2.22,2.31,2.33,69,0.1422,-0.2632,0.0226,0
Mon Apr 22 2024,SPY240422C00512000,10.42,10.42,10.65,10.74,3,0.1406,0.7206,0.0233,0,512.00,SPY240422P00512000,2.45,2.45,2.53,2.55,137,0.1402,-0.2842,0.0239,0
Mon Apr 22 2024,SPY240422C00513000,9.88,9.88,9.9,9.96,4,0.1387,0.6989,0.0245,0,513.00,SPY240422P00513000,2.67,2.67,2.76,2.79,238,0.1383,-0.3065,0.0251,0
Mon Apr 22 2024,SPY240422C00514000,0,0,9.16,9.21,0,0.1367,0.6759,0.0256,0,514.00,SPY240422P00514000,2.92,2.92,3.02,3.04,7,0.1365,-0.3303,0.0263,0
Mon Apr 22 2024,SPY240422C00515000,8.73,8.73,8.44,8.49,2,0.1349,0.6515,0.0267,0,515.00,SPY240422P00515000,3.47,3.47,3.31,3.33,12082,0.1347,-0.3555,0.0275,0
Mon Apr 22 2024,SPY240422C00516000,0,0,7.74,7.79,0,0.133,0.6258,0.0277,0,516.00,SPY240422P00516000,3.41,3.41,3.61,3.64,36,0.1328,-0.3821,0.0286,0
Mon Apr 22 2024,SPY240422C00517000,7.08,7.08,7.08,7.11,1,0.1312,0.5989,0.0286,0,517.00,SPY240422P00517000,3.7,3.7,3.95,3.97,87,0.131,-0.4102,0.0297,0
Mon Apr 22 2024,SPY240422C00518000,6.87,6.87,6.44,6.47,54,0.1295,0.5708,0.0295,0,518.00,SPY240422P00518000,4.2,4.2,4.31,4.34,566,0.1295,-0.4395,0.0306,0
Mon Apr 22 2024,SPY240422C00519000,5.84,5.84,5.82,5.85,55,0.1278,0.5416,0.0302,0,519.00,SPY240422P00519000,4.77,4.77,4.7,4.73,326,0.1276,-0.4701,0.0315,0
Mon Apr 22 2024,SPY240422C00520000,5.42,5.42,5.24,5.27,188,0.1261,0.5114,0.0307,0,520.00,SPY240422P00520000,5.2,5.2,5.14,5.17,282,0.1262,-0.5018,0.0322,0
Mon Apr 22 2024,SPY240422C00521000,4.77,4.77,4.69,4.72,147,0.1245,0.4805,0.0311,0,521.00,SPY240422P00521000,5.82,5.82,5.6,5.63,355,0.1246,-0.5345,0.0327,0
Mon Apr 22 2024,SPY240422C00522000,4.33,4.33,4.17,4.2,19,0.123,0.449,0.0312,0,522.00,SPY240422P00522000,6.36,6.36,6.1,6.13,114,0.1231,-0.568,0.033,0
Mon Apr 22 2024,SPY240422C00523000,4.01,4.01,3.69,3.71,47,0.1215,0.4172,0.0312,0,523.00,SPY240422P00523000,6.49,6.49,6.63,6.68,35,0.1216,-0.6021,0.0332,0
Mon Apr 22 2024,SPY240422C00524000,3.46,3.46,3.25,3.27,170,0.12,0.3852,0.0309,0,524.00,SPY240422P00524000,0,0,7.21,7.26,0,0.1203,-0.6365,0.0331,0
Mon Apr 22 2024,SPY240422C00525000,3.04,3.04,2.84,2.86,30,0.1187,0.3534,0.0304,0,525.00,SPY240422P00525000,7.61,7.61,7.82,7.88,36,0.119,-0.6711,0.0328,0
Mon Apr 22 2024,SPY240422C00526000,2.46,2.46,2.46,2.48,14,0.1173,0.322,0.0296,0,526.00,SPY240422P00526000,0,0,8.47,8.54,0,0.1179,-0.7056,0.0323,0
Mon Apr 22 2024,SPY240422C00527000,2.19,2.19,2.12,2.14,22,0.1161,0.2912,0.0287,0,527.00,SPY240422P00527000,0,0,9.15,9.25,0,0.1168,-0.7399,0.0316,0
Mon Apr 22 2024,SPY240422C00528000,1.84,1.84,1.81,1.83,55,0.1151,0.2613,0.0275,0,528.00,SPY240422P00528000,10.46,10.46,9.88,9.99,2,0.116,-0.7736,0.0307,0
Mon Apr 22 2024,SPY240422C00529000,1.64,1.64,1.54,1.56,104,0.1138,0.2326,0.0261,0,529.00,SPY240422P00529000,0,0,10.64,10.76,0,0.115,-0.8065,0.0296,0
Fri Apr 26 2024,SPY240426C00512000,11.84,0,11.84,11.91,0,0.1452,0.7039,0.0205,906,512.00,SPY240426P00512000,3.28,-0.775,3.24,3.26,452,0.1449,-0.3034,0.0212,2977
Fri Apr 26 2024,SPY240426C00512500,11.32,-0.215,11.47,11.53,50,0.1442,0.6944,0.0209,654,512.50,SPY240426P00512500,3.41,-0.775,3.36,3.38,106,0.1441,-0.3133,0.0217,502
Fri Apr 26 2024,SPY240426C00513000,11.86,0.69,11.1,11.15,21,0.1433,0.6847,0.0214,924,513.00,SPY240426P00513000,3.26,-1.07,3.49,3.51,27,0.1432,-0.3234,0.0221,4605
Fri Apr 26 2024,SPY240426C00514000,10.8,0.335,10.36,10.41,6,0.1416,0.6645,0.0222,541,514.00,SPY240426P00514000,3.81,-0.82,3.76,3.79,234,0.1415,-0.3444,0.023,1864
Fri Apr 26 2024,SPY240426C00515000,9.47,-0.305,9.65,9.7,62,0.14,0.6434,0.0229,4747,515.00,SPY240426P00515000,4.1,-0.845,4.05,4.07,3244,0.1397,-0.3666,0.0239,2912
Fri Apr 26 2024,SPY240426C00516000,9.33,0.26,8.97,9.01,6,0.1382,0.6214,0.0237,534,516.00,SPY240426P00516000,4.56,-0.73,4.37,4.4,150,0.1381,-0.3897,0.0247,2425
Fri Apr 26 2024,SPY240426C00517000,8.21,-0.245,8.31,8.34,45,0.1364,0.5984,0.0244,890,517.00,SPY240426P00517000,4.74,-0.91,4.71,4.74,87,0.1364,-0.4139,0.0255,3172
Fri Apr 26 2024,SPY240426C00517500,7.94,-0.195,7.98,8.01,6,0.1358,0.5866,0.0247,1065,517.50,SPY240426P00517500,5.1,-0.74,4.88,4.91,310,0.1357,-0.4264,0.0259,1241
Fri Apr 26 2024,SPY240426C00518000,7.55,-0.285,7.65,7.68,169,0.135,0.5746,0.025,4930,518.00,SPY240426P00518000,5.08,-0.96,5.07,5.1,162,0.135,-0.4392,0.0263,2610
Fri Apr 26 2024,SPY240426C00519000,7.01,-0.22,7.04,7.06,638,0.1333,0.55,0.0255,1748,519.00,SPY240426P00519000,5.45,-1,5.46,5.49,457,0.1334,-0.4654,0.027,1808
Fri Apr 26 2024,SPY240426C00520000,6.42,-0.235,6.44,6.47,452,0.1318,0.5246,0.026,2208,520.00,SPY240426P00520000,5.92,-0.97,5.89,5.92,230,0.1319,-0.4925,0.0276,2476
Fri Apr 26 2024,SPY240426C00521000,5.8,-0.305,5.88,5.9,248,0.1303,0.4986,0.0263,1848,521.00,SPY240426P00521000,6.14,-1.22,6.34,6.37,56,0.1304,-0.5204,0.0281,1541
Fri Apr 26 2024,SPY240426C00522000,5.2,-0.385,5.33,5.36,59,0.1289,0.472,0.0266,1520,522.00,SPY240426P00522000,7.03,-0.825,6.82,6.85,79,0.129,-0.5492,0.0285,2182
Fri Apr 26 2024,SPY240426C00522500,5.07,-0.255,5.07,5.1,299,0.1281,0.4585,0.0266,1705,522.50,SPY240426P00522500,6.75,-1.33,7.07,7.1,32,0.1284,-0.5638,0.0286,949
Fri Apr 26 2024,SPY240426C00523000,4.81,-0.275,4.82,4.85,352,0.1275,0.445,0.0267,1795,523.00,SPY240426P00523000,6.89,-1.465,7.33,7.36,91,0.1278,-0.5786,0.0288,1722
Fri Apr 26 2024,SPY240426C00524000,4.33,-0.275,4.34,4.37,366,0.1261,0.4177,0.0267,2339,524.00,SPY240426P00524000,7.5,-1.4,7.71,7.98,7,0.1255,-0.6085,0.029,1345
Fri Apr 26 2024,SPY240426C00525000,3.83,-0.335,3.89,3.91,963,0.1248,0.3903,0.0265,2896,525.00,SPY240426P00525000,7.94,-1.58,8.28,8.57,38,0.1241,-0.6389,0.029,2922
Fri Apr 26 2024,SPY240426C00526000,3.47,-0.275,3.48,3.5,250,0.1234,0.3629,0.0262,2098,526.00,SPY240426P00526000,8.43,-1.66,8.9,9.21,27,0.1234,-0.6695,0.029,1287
Fri Apr 26 2024,SPY240426C00527000,3.08,-0.275,3.08,3.1,320,0.1222,0.3358,0.0257,2230,527.00,SPY240426P00527000,15,0,9.52,9.86,0,0.122,-0.7002,0.0288,430
Fri Apr 26 2024,SPY240426C00528000,2.82,-0.175,2.72,2.74,70,0.1209,0.309,0.0251,1685,528.00,SPY240426P00528000,11.11,0,10.2,10.54,0,0.1207,-0.7309,0.0284,225
Tue Apr 30 2024,SPY240430C00510000,14.38,0.475,13.87,13.96,463,0.1432,0.7299,0.018,11193,510.00,SPY240430P00510000,3.23,-0.66,3.11,3.13,738,0.1431,-0.2764,0.0186,20493
Tue Apr 30 2024,SPY240430C00511000,13.08,-0.075,13.11,13.18,37,0.1415,0.7134,0.0187,2091,511.00,SPY240430P00511000,3.38,-0.755,3.34,3.36,260,0.1415,-0.2936,0.0194,2238
Tue Apr 30 2024,SPY240430C00512000,12.27,-0.15,12.35,12.41,13,0.14,0.6961,0.0194,5544,512.00,SPY240430P00512000,3.4,-1.005,3.58,3.6,275,0.14,-0.3116,0.0202,5428
Tue Apr 30 2024,SPY240430C00513000,12.05,0.36,11.61,11.66,104,0.1384,0.6779,0.0202,6661,513.00,SPY240430P00513000,3.88,-0.805,3.83,3.85,165,0.1383,-0.3306,0.0209,3673
Tue Apr 30 2024,SPY240430C00514000,10.76,-0.225,10.88,10.93,8,0.1368,0.6589,0.0208,4381,514.00,SPY240430P00514000,4.27,-0.715,4.11,4.14,174,0.1367,-0.3506,0.0217,3258
Tue Apr 30 2024,SPY240430C00515000,9.96,-0.34,10.17,10.21,206,0.1352,0.639,0.0215,2092,515.00,SPY240430P00515000,4.4,-0.91,4.41,4.43,1038,0.1352,-0.3715,0.0225,12529
Tue Apr 30 2024,SPY240430C00516000,9.37,-0.265,9.5,9.53,236,0.1336,0.6183,0.0222,4630,516.00,SPY240430P00516000,4.78,-0.87,4.72,4.75,213,0.1336,-0.3933,0.0232,4362
Tue Apr 30 2024,SPY240430C00517000,9.25,0.265,8.82,8.86,377,0.1322,0.5968,0.0228,2693,517.00,SPY240430P00517000,5.18,-0.835,5.07,5.09,517,0.1321,-0.416,0.0239,2760
Tue Apr 30 2024,SPY240430C00518000,8.15,-0.21,8.19,8.21,513,0.1307,0.5746,0.0233,3694,518.00,SPY240430P00518000,5.55,-0.85,5.43,5.46,784,0.1306,-0.4397,0.0246,2822
Tue Apr 30 2024,SPY240430C00519000,7.53,-0.225,7.56,7.59,664,0.1292,0.5516,0.0238,5087,519.00,SPY240430P00519000,6,-0.805,5.82,5.85,309,0.1291,-0.4642,0.0252,6603
